,Country,TrainMAE_x,TestMAE_x,ConfirmedCases,TrainMPE,TestMPE,TrainMAE_y,TestMAE_y
95,Tunisia,5.7864476995044765,5.431672135942015,416286.0,0.001390017367748249,0.0013047933718506064,5.034127589055849,4.83166130919822
96,Rwanda,5.632522325924993,5.010162752831153,383292.0,0.001469512101980994,0.0013071399227824096,5.1826469805359014,5.552939244454523
97,Togo,4.089763301362532,3.1424034021848017,237276.0,0.0017236312570013536,0.0013243663085119447,3.441198279307673,2.670645857166309
98,Nicaragua,4.546694907053125,11.74491252920078,884169.0,0.0005142336936776933,0.0013283560641914366,3.14670959323779,13.136047016405456
99,Niger,3.977105688996134,5.0454009951889525,379782.0,0.0010472075266853443,0.001328499243036519,3.5582593612389686,4.3202985692819
100,Jordan,5.507871378941883,5.446646871841887,397683.0,0.0013849904016369527,0.001369595097563106,4.763783542732166,5.2265125437987106
101,Sudan,40.166768201638654,47.65242563718687,3428217.0,0.0011716518587253563,0.0013900061062991893,35.17020517529944,46.25007401436618
102,Jamaica,3.901630630531752,3.558186654064145,255528.0,0.0015268896678766132,0.0013924840542187727,3.6939550176043885,3.4029945481934676
103,Latvia,3.2852107961449915,5.578863254605388,394173.0,0.0008334438929467498,0.0014153336871387404,3.0418494926763175,5.0543644731666735
104,Central African Republic,14.715697099091086,20.581931327071434,1393119.0,0.0010563129997574567,0.0014773993698364199,15.735063006641914,12.308446592295628
105,Brunei,0.7029776473461009,0.7361220444811634,49491.0,0.0014204151206201148,0.0014873856751352027,0.415640274690782,0.6916493615673404
106,Uruguay,4.247950415992956,5.0351741274002,335205.0,0.0012672694070771484,0.0015021178465118956,3.579075099556159,5.103499556301093
107,Djibouti,23.911210629973468,25.168813507524533,1662336.0,0.0014384102028695445,0.0015140629516249744,18.70384239933715,26.611506033766613
108,Gabon,28.895763831815515,30.795911437280324,1972620.0,0.001464841876885336,0.0015611679612535778,23.40066834586478,30.28876057942647
109,Haiti,22.158623163887828,34.64831710358132,2209194.0,0.0010030184385747846,0.001568369147461985,19.66290635050888,32.46534929606228
110,Kosovo,10.869704959746173,17.50144051135926,1115478.0,0.000974443687795382,0.001568963306435381,12.31453757714758,17.782156982072614
